date,province_raw,n,province,date_full
0,Hubei,0,1,2019-11-01
1,Hubei,0,1,2019-11-02
2,Hubei,0,1,2019-11-03
3,Hubei,0,1,2019-11-04
4,Hubei,0,1,2019-11-05
5,Hubei,0,1,2019-11-06
6,Hubei,0,1,2019-11-07
7,Hubei,0,1,2019-11-08
8,Hubei,0,1,2019-11-09
9,Hubei,0,1,2019-11-10
10,Hubei,0,1,2019-11-11
11,Hubei,0,1,2019-11-12
12,Hubei,0,1,2019-11-13
13,Hubei,0,1,2019-11-14
14,Hubei,0,1,2019-11-15
15,Hubei,0,1,2019-11-16
16,Hubei,0,1,2019-11-17
17,Hubei,0,1,2019-11-18
18,Hubei,0,1,2019-11-19
19,Hubei,0,1,2019-11-20
20,Hubei,0,1,2019-11-21
21,Hubei,0,1,2019-11-22
22,Hubei,0,1,2019-11-23
23,Hubei,0,1,2019-11-24
24,Hubei,0,1,2019-11-25
25,Hubei,0,1,2019-11-26
26,Hubei,0,1,2019-11-27
27,Hubei,0,1,2019-11-28
28,Hubei,0,1,2019-11-29
29,Hubei,0,1,2019-11-30
30,Hubei,0,1,2019-12-01
31,Hubei,0,1,2019-12-02
32,Hubei,0,1,2019-12-03
33,Hubei,0,1,2019-12-04
34,Hubei,0,1,2019-12-05
35,Hubei,0,1,2019-12-06
36,Hubei,0,1,2019-12-07
37,Hubei,0,1,2019-12-08
38,Hubei,0,1,2019-12-09
39,Hubei,0,1,2019-12-10
40,Hubei,0,1,2019-12-11
41,Hubei,0,1,2019-12-12
42,Hubei,0,1,2019-12-13
43,Hubei,0,1,2019-12-14
44,Hubei,0,1,2019-12-15
45,Hubei,0,1,2019-12-16
46,Hubei,0,1,2019-12-17
47,Hubei,0,1,2019-12-18
48,Hubei,0,1,2019-12-19
49,Hubei,0,1,2019-12-20
50,Hubei,0,1,2019-12-21
51,Hubei,0,1,2019-12-22
52,Hubei,0,1,2019-12-23
53,Hubei,0,1,2019-12-24
54,Hubei,0,1,2019-12-25
55,Hubei,0,1,2019-12-26
56,Hubei,0,1,2019-12-27
57,Hubei,0,1,2019-12-28
58,Hubei,0,1,2019-12-29
59,Hubei,0,1,2019-12-30
60,Hubei,0,1,2019-12-31
61,Hubei,0,1,2020-01-01
62,Hubei,0,1,2020-01-02
63,Hubei,0,1,2020-01-03
64,Hubei,0,1,2020-01-04
65,Hubei,0,1,2020-01-05
66,Hubei,0,1,2020-01-06
67,Hubei,0,1,2020-01-07
68,Hubei,0,1,2020-01-08
69,Hubei,0,1,2020-01-09
70,Hubei,0,1,2020-01-10
71,Hubei,0,1,2020-01-11
72,Hubei,0,1,2020-01-12
73,Hubei,0,1,2020-01-13
74,Hubei,0,1,2020-01-14
75,Hubei,0,1,2020-01-15
76,Hubei,4,1,2020-01-16
77,Hubei,17,1,2020-01-17
78,Hubei,59,1,2020-01-18
79,Hubei,77,1,2020-01-19
80,Hubei,72,1,2020-01-20
81,Hubei,105,1,2020-01-21
82,Hubei,69,1,2020-01-22
83,Hubei,105,1,2020-01-23
84,Hubei,180,1,2020-01-24
85,Hubei,323,1,2020-01-25
86,Hubei,371,1,2020-01-26
87,Hubei,1291,1,2020-01-27
88,Hubei,840,1,2020-01-28
89,Hubei,1032,1,2020-01-29
90,Hubei,1220,1,2020-01-30
91,Hubei,1347,1,2020-01-31
92,Hubei,1921,1,2020-02-01
93,Hubei,2103,1,2020-02-02
94,Hubei,2345,1,2020-02-03
95,Hubei,3156,1,2020-02-04
96,Hubei,2987,1,2020-02-05
97,Hubei,2987,1,2020-02-06
98,Hubei,2841,1,2020-02-07
99,Hubei,2147,1,2020-02-08
100,Hubei,2618,1,2020-02-09
101,Hubei,2097,1,2020-02-10
102,Hubei,1638,1,2020-02-11
103,Hubei,14840,1,2020-02-12
104,Hubei,4823,1,2020-02-13
105,Hubei,2420,1,2020-02-14
106,Hubei,1843,1,2020-02-15
107,Hubei,1933,1,2020-02-16
108,Hubei,1807,1,2020-02-17
109,Hubei,1693,1,2020-02-18
110,Hubei,349,1,2020-02-19
111,Hubei,631,1,2020-02-20
112,Hubei,366,1,2020-02-21
113,Hubei,630,1,2020-02-22
114,Hubei,398,1,2020-02-23
115,Hubei,499,1,2020-02-24
116,Hubei,401,1,2020-02-25
117,Hubei,409,1,2020-02-26
118,Hubei,318,1,2020-02-27
119,Hubei,423,1,2020-02-28
120,Hubei,570,1,2020-02-29
121,Hubei,196,1,2020-03-01
122,Hubei,114,1,2020-03-02
123,Hubei,115,1,2020-03-03
0,Guangdong,0,2,2019-11-01
1,Guangdong,0,2,2019-11-02
2,Guangdong,0,2,2019-11-03
3,Guangdong,0,2,2019-11-04
4,Guangdong,0,2,2019-11-05
5,Guangdong,0,2,2019-11-06
6,Guangdong,0,2,2019-11-07
7,Guangdong,0,2,2019-11-08
8,Guangdong,0,2,2019-11-09
9,Guangdong,0,2,2019-11-10
10,Guangdong,0,2,2019-11-11
11,Guangdong,0,2,2019-11-12
12,Guangdong,0,2,2019-11-13
13,Guangdong,0,2,2019-11-14
14,Guangdong,0,2,2019-11-15
15,Guangdong,0,2,2019-11-16
16,Guangdong,0,2,2019-11-17
17,Guangdong,0,2,2019-11-18
18,Guangdong,0,2,2019-11-19
19,Guangdong,0,2,2019-11-20
20,Guangdong,0,2,2019-11-21
21,Guangdong,0,2,2019-11-22
22,Guangdong,0,2,2019-11-23
23,Guangdong,0,2,2019-11-24
24,Guangdong,0,2,2019-11-25
25,Guangdong,0,2,2019-11-26
26,Guangdong,0,2,2019-11-27
27,Guangdong,0,2,2019-11-28
28,Guangdong,0,2,2019-11-29
29,Guangdong,0,2,2019-11-30
30,Guangdong,0,2,2019-12-01
31,Guangdong,0,2,2019-12-02
32,Guangdong,0,2,2019-12-03
33,Guangdong,0,2,2019-12-04
34,Guangdong,0,2,2019-12-05
35,Guangdong,0,2,2019-12-06
36,Guangdong,0,2,2019-12-07
37,Guangdong,0,2,2019-12-08
38,Guangdong,0,2,2019-12-09
39,Guangdong,0,2,2019-12-10
40,Guangdong,0,2,2019-12-11
41,Guangdong,0,2,2019-12-12
42,Guangdong,0,2,2019-12-13
43,Guangdong,0,2,2019-12-14
44,Guangdong,0,2,2019-12-15
45,Guangdong,0,2,2019-12-16
46,Guangdong,0,2,2019-12-17
47,Guangdong,0,2,2019-12-18
48,Guangdong,0,2,2019-12-19
49,Guangdong,0,2,2019-12-20
50,Guangdong,0,2,2019-12-21
51,Guangdong,0,2,2019-12-22
52,Guangdong,0,2,2019-12-23
53,Guangdong,0,2,2019-12-24
54,Guangdong,0,2,2019-12-25
55,Guangdong,0,2,2019-12-26
56,Guangdong,0,2,2019-12-27
57,Guangdong,0,2,2019-12-28
58,Guangdong,0,2,2019-12-29
59,Guangdong,0,2,2019-12-30
60,Guangdong,0,2,2019-12-31
61,Guangdong,0,2,2020-01-01
62,Guangdong,0,2,2020-01-02
63,Guangdong,0,2,2020-01-03
64,Guangdong,0,2,2020-01-04
65,Guangdong,0,2,2020-01-05
66,Guangdong,0,2,2020-01-06
67,Guangdong,0,2,2020-01-07
68,Guangdong,0,2,2020-01-08
69,Guangdong,0,2,2020-01-09
70,Guangdong,0,2,2020-01-10
71,Guangdong,0,2,2020-01-11
72,Guangdong,0,2,2020-01-12
73,Guangdong,0,2,2020-01-13
74,Guangdong,0,2,2020-01-14
75,Guangdong,0,2,2020-01-15
76,Guangdong,0,2,2020-01-16
77,Guangdong,0,2,2020-01-17
78,Guangdong,0,2,2020-01-18
79,Guangdong,0,2,2020-01-19
80,Guangdong,0,2,2020-01-20
81,Guangdong,12,2,2020-01-21
82,Guangdong,6,2,2020-01-22
83,Guangdong,21,2,2020-01-23
84,Guangdong,25,2,2020-01-24
85,Guangdong,20,2,2020-01-25
86,Guangdong,48,2,2020-01-26
87,Guangdong,42,2,2020-01-27
88,Guangdong,53,2,2020-01-28
89,Guangdong,70,2,2020-01-29
90,Guangdong,82,2,2020-01-30
91,Guangdong,127,2,2020-01-31
92,Guangdong,85,2,2020-02-01
93,Guangdong,79,2,2020-02-02
94,Guangdong,114,2,2020-02-03
95,Guangdong,73,2,2020-02-04
96,Guangdong,74,2,2020-02-05
97,Guangdong,74,2,2020-02-06
98,Guangdong,57,2,2020-02-07
99,Guangdong,45,2,2020-02-08
100,Guangdong,31,2,2020-02-09
101,Guangdong,26,2,2020-02-10
102,Guangdong,42,2,2020-02-11
103,Guangdong,22,2,2020-02-12
104,Guangdong,20,2,2020-02-13
105,Guangdong,33,2,2020-02-14
106,Guangdong,22,2,2020-02-15
107,Guangdong,6,2,2020-02-16
108,Guangdong,6,2,2020-02-17
109,Guangdong,3,2,2020-02-18
110,Guangdong,1,2,2020-02-19
111,Guangdong,1,2,2020-02-20
112,Guangdong,6,2,2020-02-21
113,Guangdong,3,2,2020-02-22
114,Guangdong,3,2,2020-02-23
115,Guangdong,2,2,2020-02-24
116,Guangdong,0,2,2020-02-25
117,Guangdong,0,2,2020-02-26
118,Guangdong,1,2,2020-02-27
119,Guangdong,1,2,2020-02-28
120,Guangdong,0,2,2020-02-29
121,Guangdong,1,2,2020-03-01
122,Guangdong,0,2,2020-03-02
123,Guangdong,0,2,2020-03-03
0,Henan,0,3,2019-11-01
1,Henan,0,3,2019-11-02
2,Henan,0,3,2019-11-03
3,Henan,0,3,2019-11-04
4,Henan,0,3,2019-11-05
5,Henan,0,3,2019-11-06
6,Henan,0,3,2019-11-07
7,Henan,0,3,2019-11-08
8,Henan,0,3,2019-11-09
9,Henan,0,3,2019-11-10
10,Henan,0,3,2019-11-11
11,Henan,0,3,2019-11-12
12,Henan,0,3,2019-11-13
13,Henan,0,3,2019-11-14
14,Henan,0,3,2019-11-15
15,Henan,0,3,2019-11-16
16,Henan,0,3,2019-11-17
17,Henan,0,3,2019-11-18
18,Henan,0,3,2019-11-19
19,Henan,0,3,2019-11-20
20,Henan,0,3,2019-11-21
21,Henan,0,3,2019-11-22
22,Henan,0,3,2019-11-23
23,Henan,0,3,2019-11-24
24,Henan,0,3,2019-11-25
25,Henan,0,3,2019-11-26
26,Henan,0,3,2019-11-27
27,Henan,0,3,2019-11-28
28,Henan,0,3,2019-11-29
29,Henan,0,3,2019-11-30
30,Henan,0,3,2019-12-01
31,Henan,0,3,2019-12-02
32,Henan,0,3,2019-12-03
33,Henan,0,3,2019-12-04
34,Henan,0,3,2019-12-05
35,Henan,0,3,2019-12-06
36,Henan,0,3,2019-12-07
37,Henan,0,3,2019-12-08
38,Henan,0,3,2019-12-09
39,Henan,0,3,2019-12-10
40,Henan,0,3,2019-12-11
41,Henan,0,3,2019-12-12
42,Henan,0,3,2019-12-13
43,Henan,0,3,2019-12-14
44,Henan,0,3,2019-12-15
45,Henan,0,3,2019-12-16
46,Henan,0,3,2019-12-17
47,Henan,0,3,2019-12-18
48,Henan,0,3,2019-12-19
49,Henan,0,3,2019-12-20
50,Henan,0,3,2019-12-21
51,Henan,0,3,2019-12-22
52,Henan,0,3,2019-12-23
53,Henan,0,3,2019-12-24
54,Henan,0,3,2019-12-25
55,Henan,0,3,2019-12-26
56,Henan,0,3,2019-12-27
57,Henan,0,3,2019-12-28
58,Henan,0,3,2019-12-29
59,Henan,0,3,2019-12-30
60,Henan,0,3,2019-12-31
61,Henan,0,3,2020-01-01
62,Henan,0,3,2020-01-02
63,Henan,0,3,2020-01-03
64,Henan,0,3,2020-01-04
65,Henan,0,3,2020-01-05
66,Henan,0,3,2020-01-06
67,Henan,0,3,2020-01-07
68,Henan,0,3,2020-01-08
69,Henan,0,3,2020-01-09
70,Henan,0,3,2020-01-10
71,Henan,0,3,2020-01-11
72,Henan,0,3,2020-01-12
73,Henan,0,3,2020-01-13
74,Henan,0,3,2020-01-14
75,Henan,0,3,2020-01-15
76,Henan,0,3,2020-01-16
77,Henan,0,3,2020-01-17
78,Henan,0,3,2020-01-18
79,Henan,0,3,2020-01-19
80,Henan,0,3,2020-01-20
81,Henan,1,3,2020-01-21
82,Henan,4,3,2020-01-22
83,Henan,4,3,2020-01-23
84,Henan,23,3,2020-01-24
85,Henan,51,3,2020-01-25
86,Henan,45,3,2020-01-26
87,Henan,40,3,2020-01-27
88,Henan,38,3,2020-01-28
89,Henan,72,3,2020-01-29
90,Henan,74,3,2020-01-30
91,Henan,70,3,2020-01-31
92,Henan,71,3,2020-02-01
93,Henan,73,3,2020-02-02
94,Henan,109,3,2020-02-03
95,Henan,89,3,2020-02-04
96,Henan,87,3,2020-02-05
97,Henan,87,3,2020-02-06
98,Henan,67,3,2020-02-07
99,Henan,53,3,2020-02-08
100,Henan,40,3,2020-02-09
101,Henan,32,3,2020-02-10
102,Henan,30,3,2020-02-11
103,Henan,34,3,2020-02-12
104,Henan,15,3,2020-02-13
105,Henan,28,3,2020-02-14
106,Henan,19,3,2020-02-15
107,Henan,15,3,2020-02-16
108,Henan,11,3,2020-02-17
109,Henan,5,3,2020-02-18
110,Henan,4,3,2020-02-19
111,Henan,2,3,2020-02-20
112,Henan,3,3,2020-02-21
113,Henan,1,3,2020-02-22
114,Henan,0,3,2020-02-23
115,Henan,0,3,2020-02-24
116,Henan,0,3,2020-02-25
117,Henan,1,3,2020-02-26
118,Henan,0,3,2020-02-27
119,Henan,0,3,2020-02-28
120,Henan,0,3,2020-02-29
121,Henan,0,3,2020-03-01
122,Henan,0,3,2020-03-02
123,Henan,0,3,2020-03-03
0,Zhejiang,0,4,2019-11-01
1,Zhejiang,0,4,2019-11-02
2,Zhejiang,0,4,2019-11-03
3,Zhejiang,0,4,2019-11-04
4,Zhejiang,0,4,2019-11-05
5,Zhejiang,0,4,2019-11-06
6,Zhejiang,0,4,2019-11-07
7,Zhejiang,0,4,2019-11-08
8,Zhejiang,0,4,2019-11-09
9,Zhejiang,0,4,2019-11-10
10,Zhejiang,0,4,2019-11-11
11,Zhejiang,0,4,2019-11-12
12,Zhejiang,0,4,2019-11-13
13,Zhejiang,0,4,2019-11-14
14,Zhejiang,0,4,2019-11-15
