"Destination Country","Number Exported"
"Algeria",1.89828824207807
"Angola",0.362419209572854
"Congo (Kinshasa)",0.945107170265504
"Cote D'Ivoire",0.511191233696599
"Egypt",14.4039074736408
"Equatorial Guinea",0.0990103457158909
"Ethiopia",4.12741516358461
"Gabon",0.243552762589122
"Ghana",1.19975596123889
"Guinea",0.427202331618517
"Kenya",5.47448257522869
"Madagascar",0.292696776361744
"Mauritania",0.138875919498282
"Mauritius",0.998443248345077
"Morocco",3.69624844187276
"Mozambique",0.488352502050145
"Nigeria",1.97737613366143
"Senegal",0.32994950383644
"Seychelles",0.316805681692659
"South Africa",13.9408129510327
"Sudan",0.924407605656917
"Tanzania",1.49872959124965
"Tunisia",0.572182042131611
"Uganda",1.16638808884009
"Zambia",3.7496483914974
"Zimbabwe",0.565310702934226
