"date.x","num_exp_dest_wuh","date.y","num_exp_dest_all","frac_wuhan","frac_all"
"2019-12-08",0.000103240174077401,2019-12-08,6.62079066200153e-06,5.42204727599141e-08,3.47715802444318e-09
"2019-12-17",0.00472955633261594,2019-12-17,0.00177991961353101,2.48390495842078e-06,9.34791942988594e-07
"2019-12-18",0.00625434000362256,2019-12-18,0.00243077901085336,3.28470263468771e-06,1.2766153129937e-06
"2019-12-19",0.00823544004183303,2019-12-19,0.00347168980963676,4.32515206841225e-06,1.82328889346076e-06
"2019-12-20",0.0108094109775595,2019-12-20,0.00492216678728879,5.67697002351114e-06,2.5850616060552e-06
"2019-12-21",0.0141531008706368,2019-12-21,0.00624314757190381,7.43303493124053e-06,3.27882450687025e-06
"2019-12-22",0.0184954746092907,2019-12-22,0.00835534041128759,9.71359634170012e-06,4.3881222713784e-06
"2019-12-23",0.0241327098261721,2019-12-23,0.0114516784972514,1.26742031137208e-05,6.01428104479946e-06
"2019-12-24",0.0314472778129368,2019-12-24,0.0135639300097459,1.6515724477096e-05,7.12360962370552e-06
"2019-12-25",0.0409322670272904,2019-12-25,0.0176687746246042,2.1497124440054e-05,9.27942365261968e-06
"2019-12-26",0.0532215581373307,2019-12-26,0.02353426670497,2.7951309352325e-05,1.23599081288327e-05
"2019-12-09",0.000238497362175368,2019-12-09,2.45326960712569e-05,1.25255888463012e-07,1.28842709821622e-08
"2019-12-27",0.0691251667016442,2019-12-27,0.0355310517725518,3.63036894471048e-05,1.86604724563947e-05
"2019-12-28",0.08967409954308,2019-12-28,0.0437644033395271,4.7095736858213e-05,2.29845276834354e-05
"2019-12-29",0.116173725521263,2019-12-29,0.0546152720177266,6.10130152950043e-05,2.86832707826734e-05
"2019-12-30",0.150267426159491,2019-12-30,0.0739826834024918,7.89186085706779e-05,3.88547976209604e-05
"2019-12-31",0.194019442776581,2019-12-31,0.0912694802447452,0.000101896630899464,4.79336112288187e-05
"2020-01-01",0.322247136163376,2020-01-01,0.131202377257284,0.000169240242225931,6.89058787985102e-05
"2020-01-02",0.414345671868643,2020-01-02,0.177997959913073,0.000217609263210839,9.34823446689597e-05
"2020-01-03",0.531228994052972,2020-01-03,0.274795039585096,0.000278994949967162,0.000144318983298233
"2020-01-04",0.679245160561324,2020-01-04,0.36234674481701,0.000356731224590025,0.000190300064704121
"2020-01-05",0.866626711427242,2020-01-05,0.52848888024754,0.000455141716099065,0.00027755587581532
"2019-12-10",0.000422252517974069,2019-12-10,5.87226945153171e-05,2.21761841775407e-07,3.08404386839702e-08
"2020-01-06",1.10325130427654,2020-01-06,0.756193934185822,0.000579414049089245,0.000397143776404282
"2020-01-07",1.40035961170335,2020-01-07,0.981131285373989,0.000735451686893907,0.000515278113466146
"2020-01-08",1.77100864786871,2020-01-08,1.37681631710126,0.000930112013152416,0.000723087037424272
"2020-01-09",2.23031977681996,2020-01-09,2.04072307375414,0.00117133658273669,0.00107176272047022
"2020-01-10",2.79558381357277,2020-01-10,3.12206919188075,0.00146820631954997,0.00163967243455076
"2020-01-11",3.48796756031274,2020-01-11,3.77416517760364,0.00183183776840219,0.00198214524561198
"2020-01-12",4.31816396284032,2020-01-12,4.91842127884004,0.00226784673323479,0.00258309451097199
"2020-01-13",5.29751545442249,2020-01-13,6.54824936672253,0.00278219012083797,0.00343906022618013
"2020-01-14",6.42244466633701,2020-01-14,7.46079651212147,0.00337298914104995,0.00391831879079806
"2020-01-15",7.68223559689778,2020-01-15,9.95832406530857,0.00403461588126105,0.00522998961927991
"2019-12-11",0.000670210560690188,2019-12-11,0.000120064068026975,3.51986363584247e-07,6.30561754479458e-08
"2020-01-16",9.04499225997466,2020-01-16,12.7088767015403,0.00475031896089122,0.00667454611698302
"2020-01-17",10.4649931529375,2020-01-17,17.5649169934182,0.00549608600772148,0.00922487889896202
"2020-01-18",11.8799197578384,2020-01-18,19.9864955183411,0.00623918810071863,0.0104966622296268
"2020-01-19",13.21330495938,2020-01-19,25.0658045717913,0.00693946564911229,0.0131642530258735
"2020-01-20",14.3932340554852,2020-01-20,32.2050473016846,0.00755914993370135,0.0169136957154256
"2020-01-21",15.3400798189808,2020-01-21,36.0672478187065,0.00805642171172993,0.0189420760411843
"2020-01-22",15.9850503838725,2020-01-22,45.985804297922,0.00839515233919325,0.0241511802121613
"2020-01-23",16.3133285719844,2020-01-23,51.2656283899989,0.00856756001590686,0.0269240790465527
"2020-01-24",16.3237364124924,2020-01-24,62.6671355975777,0.00857302608604666,0.0329120107455734
"2020-01-25",16.0598092114057,2020-01-25,62.9090613560776,0.00843441475818906,0.0330390671857227
"2019-12-12",0.000994727651904896,2019-12-12,0.000229429765773839,5.22418758352798e-07,1.20493698084309e-07
"2020-01-26",15.5152708057433,2020-01-26,66.1757291155379,0.00814842986853931,0.0347546810138698
"2020-01-27",14.7225248973409,2020-01-27,75.8376575969408,0.00773208944373683,0.0398290073089939
"2020-01-28",13.7334781431846,2020-01-28,69.9124353358491,0.00721265422318203,0.0367171532747001
"2020-01-29",12.613120910653,2020-01-29,72.2274930713406,0.00662425635044781,0.0379329931936713
"2020-01-30",11.4182917944964,2020-01-30,72.1545480359566,0.00599674675813782,0.0378946833560586
"2020-01-31",10.1966179617472,2020-01-31,67.4535390933151,0.00535513865003432,0.0354257711366012
"2020-02-01",34.7519284367056,2020-02-01,88.7497945806524,0.0182512864395619,0.0466103032323496
"2020-02-02",30.2277626236973,2020-02-02,70.3061912383074,0.0158752500620792,0.0369239490436348
