"date.x","num_exp_dest_wuh","date.y","num_exp_dest_all","frac_wuhan","frac_all"
"2019-12-08",4.5239031544487e-07,2019-12-08,1.38922721876875e-07,1.17780882429589e-08,3.61688573197864e-09
"2019-12-17",2.22334877602575e-05,2019-12-17,3.01477620608863e-05,5.78854082080744e-07,7.84904074552669e-07
"2019-12-18",2.96876789507569e-05,2019-12-18,4.17522808336944e-05,7.72925702591125e-07,1.08703044962504e-06
"2019-12-19",3.94805349414216e-05,2019-12-19,5.77427888124764e-05,1.02788501111481e-06,1.50334708504777e-06
"2019-12-20",5.23457323102857e-05,2019-12-20,8.28493946205232e-05,1.36283344988622e-06,2.1570034711213e-06
"2019-12-21",6.92444442106775e-05,2019-12-21,0.000108418018805305,1.80279538797375e-06,2.82268861427753e-06
"2019-12-22",9.14354285744319e-05,2019-12-22,0.000145664932189202,2.38054288413179e-06,3.79242076290228e-06
"2019-12-23",0.00012056594479453,2019-12-23,0.000195386846737395,3.13896272401246e-06,5.08694250035722e-06
"2019-12-24",0.000158788119597801,2019-12-24,0.000239277301126448,4.13408603302497e-06,6.22964080129115e-06
"2019-12-25",0.000208909404890987,2019-12-25,0.000322429303878447,5.43900548173852e-06,8.39452274627425e-06
"2019-12-26",0.000274581890838162,2019-12-26,0.000415925110074171,7.14880409636992e-06,1.08287080462777e-05
"2019-12-09",1.05158707456358e-06,2019-12-09,4.74698489994367e-07,2.73783167687508e-08,1.23588868131602e-08
"2019-12-27",0.000360532099349616,2019-12-27,0.000623490535966265,9.38653798630326e-06,1.62327227187411e-05
"2019-12-28",0.000472852141163202,2019-12-28,0.000797170749152578,1.23108166871687e-05,2.07545279102441e-05
"2019-12-29",0.00061935626933081,2019-12-29,0.00100963872370974,1.61250861147072e-05,2.62861815900453e-05
"2019-12-30",0.000810016463374759,2019-12-30,0.00134852092995335,2.10889691007101e-05,3.51090595183243e-05
"2019-12-31",0.00105752999404747,2019-12-31,0.00168715790170638,2.75330420750016e-05,4.39255527089741e-05
"2020-01-01",0.00214413979218343,2020-01-01,0.0023518474024331,5.58231836876125e-05,6.123090016326e-05
"2020-01-02",0.00278801893358023,2020-01-02,0.00315022200466452,7.25867285431526e-05,8.20167706714998e-05
"2020-01-03",0.00361506649782454,2020-01-03,0.00504080593227359,9.41191063598939e-05,0.000131238567800826
"2020-01-04",0.00467527005518688,2020-01-04,0.00687214773001223,0.000121721755284491,0.000178917982148089
"2020-01-05",0.00603405172208893,2020-01-05,0.0101660364206785,0.000157097955502104,0.000264675148773109
"2019-12-10",1.87387171869159e-06,2019-12-10,1.09648694772804e-06,4.87866908402555e-08,2.85472955248692e-08
"2020-01-06",0.00777144196067894,2020-01-06,0.0142400166229532,0.000202331318914063,0.0003707421813427
"2020-01-07",0.0099809520263717,2020-01-07,0.0190194486736755,0.000259856433044422,0.000495175818674827
"2020-01-08",0.0127737033300042,2020-01-08,0.0276070876347053,0.00033256636995471,0.000718757018423137
"2020-01-09",0.0162812385349894,2020-01-09,0.039056218821602,0.000423885873819367,0.00101683784115665
"2020-01-10",0.0206572529965866,2020-01-10,0.0585771796505471,0.000537816439354287,0.00152507064672536
"2020-01-11",0.0260906512936983,2020-01-11,0.072131343646156,0.000679276241692437,0.00187795649363574
"2020-01-12",0.0326977216365137,2020-01-12,0.0939560264759338,0.000851292871731457,0.00244616724322027
"2020-01-13",0.0406022270199065,2020-01-13,0.120495109647044,0.00105708852814596,0.00313711851429064
"2020-01-14",0.0498121635891282,2020-01-14,0.142112267525068,0.00129687139245789,0.00369992630295642
"2020-01-15",0.0602716247570325,2020-01-15,0.193166976488391,0.00156918592352435,0.00502914765641813
"2019-12-11",2.99443851839932e-06,2019-12-11,2.22882555535935e-06,7.79609109738338e-08,5.80279974458986e-08
"2020-01-16",0.071741964103218,2020-01-16,0.235750289167619,0.00186781890567209,0.00613781421556019
"2020-01-17",0.0838500799589036,2020-01-17,0.326075773810924,0.00218305654921889,0.00848945944843989
"2020-01-18",0.0960602062265589,2020-01-18,0.378145925575688,0.00250095005782924,0.0098451180940202
"2020-01-19",0.107693477257552,2020-01-19,0.477460180739124,0.00280382500470461,0.0124307880811162
"2020-01-20",0.118088614482928,2020-01-20,0.593915158991522,0.00307446484680145,0.0154627208245035
"2020-01-21",0.126513440937277,2020-01-21,0.669343251486271,0.00329380718465269,0.0174265089496484
"2020-01-22",0.132333153615147,2020-01-22,0.861271481777803,0.00344532477273637,0.022423405557538
"2020-01-23",0.135388620272748,2020-01-23,0.935543553772138,0.00352487456566519,0.0243570964171145
"2020-01-24",0.135661818478148,2020-01-24,1.13162597599467,0.0035319873451858,0.0294621483887931
"2020-01-25",0.133535755603215,2020-01-25,1.14246154521583,0.00347663479828963,0.0297442549814685
"2019-12-12",4.47680945867034e-06,2019-12-12,3.91758880754324e-06,1.16554786985836e-07,1.01995345832056e-07
"2020-01-26",0.128982745660609,2020-01-26,1.22952628917199,0.00335809611378584,0.0320110060637896
"2020-01-27",0.122307561522124,2020-01-27,1.36214367871538,0.00318430612505949,0.0354637309857563
"2020-01-28",0.11397728598688,2020-01-28,1.30477302919593,0.00296742544262097,0.0339700726347116
"2020-01-29",0.104560908188063,2020-01-29,1.40329560566804,0.00272226783235153,0.0365351310809143
"2020-01-30",0.0945487338921223,2020-01-30,1.35037835041128,0.00246159852017689,0.0351574178967221
"2020-01-31",0.0843443492645778,2020-01-31,1.3065192262495,0.00219592496682038,0.0340155352856226
"2020-02-01",0.69626842187214,2020-02-01,2.20922738970258,0.0181275120921441,0.0575177545944826
