"Destination Country","Number Exported"
"Algeria",1.88833218401148
"Angola",0.350706739940887
"Congo (Kinshasa)",0.89548959383557
"Cote D'Ivoire",0.489707493007406
"Egypt",12.878394368473
"Equatorial Guinea",0.0960817329053233
"Ethiopia",3.94832929943671
"Gabon",0.231092829528179
"Ghana",1.14551845447349
"Guinea",0.404923480780426
"Kenya",5.33211352539171
"Madagascar",0.276452703127155
"Mauritania",0.139192954984725
"Mauritius",0.940433190427522
"Morocco",3.4265898238916
"Mozambique",0.483860730589393
"Nigeria",1.84567632385198
"Senegal",0.314555056662988
"Seychelles",0.30140465284373
"South Africa",13.9334684831323
"Sudan",0.820698572003687
"Tanzania",1.41283047073049
"Tunisia",0.521958760694302
"Uganda",1.11218095049429
"Zambia",3.66368659631188
"Zimbabwe",0.542242198257633
