"date.x","num_exp_dest_wuh","date.y","num_exp_dest_all","frac_wuhan","frac_all"
"2019-12-08",0.000108237586169587,2019-12-08,1.0112753464316e-05,3.62888882665493e-08,3.3905096512291e-09
"2019-12-17",0.00531951937329787,2019-12-17,0.00214206530478539,1.78347883577981e-06,7.18171674516249e-07
"2019-12-18",0.00710298739584569,2019-12-18,0.00288872521591733,2.3814233584505e-06,9.68504844786009e-07
"2019-12-19",0.0094459975310065,2019-12-19,0.00417455471038646,3.16696594131101e-06,1.39960576366196e-06
"2019-12-20",0.0125240870949527,2019-12-20,0.00592867527599948,4.19895909834115e-06,1.98771094472035e-06
"2019-12-21",0.0165672235703102,2019-12-21,0.00757903110909243,5.55450418201271e-06,2.54102685416166e-06
"2019-12-22",0.0218765737050447,2019-12-22,0.0101717396626798,7.33457357034418e-06,3.41028599360185e-06
"2019-12-23",0.0288462559725284,2019-12-23,0.0140373035429937,9.67130362880821e-06,4.70629619397842e-06
"2019-12-24",0.0379911819305248,2019-12-24,0.0168750620642109,1.2737329101472e-05,5.65771340077523e-06
"2019-12-25",0.0499830543261946,2019-12-25,0.0218888087833552,1.67578522198586e-05,7.3386756332731e-06
"2019-12-26",0.0656956615903183,2019-12-26,0.029765903124875,2.20258286184691e-05,9.97963434771271e-06
"2019-12-09",0.000251599653467314,2019-12-09,3.58144158234498e-05,8.43539849297138e-08,1.20075232656481e-08
"2019-12-27",0.0862598575565916,2019-12-27,0.0447851149462979,2.89204004222258e-05,1.50151355901859e-05
"2019-12-28",0.113133222854906,2019-12-28,0.0557068626046262,3.79302516686194e-05,1.86768772686038e-05
"2019-12-29",0.148185372857604,2019-12-29,0.0703440196617046,4.96822095601902e-05,2.35842867534386e-05
"2019-12-30",0.193802174273099,2019-12-30,0.0964467611301724,6.49761852319188e-05,3.23357704304278e-05
"2019-12-31",0.253021539033332,2019-12-31,0.121186146387967,8.48307014591473e-05,4.06301607542901e-05
"2020-01-01",0.424955462614302,2020-01-01,0.172660606962932,0.000142475103582857,5.78880377496167e-05
"2020-01-02",0.552568391303686,2020-01-02,0.242847811110573,0.000185259975959079,8.14197488602524e-05
"2020-01-03",0.716484187068837,2020-01-03,0.38300954994334,0.000240216134980625,0.000128411869247881
"2020-01-04",0.926610082230479,2020-01-04,0.514396122945778,0.000310665185086771,0.000172461933889382
"2020-01-05",1.19591234225812,2020-01-05,0.756528286467828,0.000400954334816703,0.00025364174710161
"2019-12-10",0.000448337076851835,2019-12-10,8.18614713350628e-05,1.50314273104135e-07,2.74457505173757e-08
"2020-01-06",1.5402525178722,2020-01-06,1.09172316979896,0.000516401496941746,0.000366022760935975
"2020-01-07",1.97816397100618,2020-01-07,1.43361455367173,0.000663220364174451,0.000480648915007961
"2020-01-08",2.53167028926414,2020-01-08,2.01093738978476,0.000848794799533914,0.000674208330316871
"2020-01-09",3.226842428275,2020-01-09,3.03185696556969,0.00108186562983733,0.0010164927226974
"2020-01-10",4.09414187242234,2020-01-10,4.600616343026,0.00137264569742855,0.00154245173361269
"2020-01-11",5.1710083600153,2020-01-11,5.55069023002541,0.00173368744853546,0.00186098364429544
"2020-01-12",6.48048950685657,2020-01-12,7.18296548279834,0.00217271807279959,0.00240823766542008
"2020-01-13",8.04711438559933,2020-01-13,9.61247733158038,0.00269796144889649,0.00322278173594816
"2020-01-14",9.87246778358672,2020-01-14,11.1576955267837,0.0033099489095439,0.00374084807886638
"2020-01-15",11.9454693553624,2020-01-15,14.6463277266086,0.00400496553987307,0.00491048414137222
"2019-12-11",0.00071644061797842,2019-12-11,0.000158593967270572,2.40201527542396e-07,5.31719060051222e-08
"2020-01-16",14.2188208322443,2020-01-16,19.2585659457638,0.00476715361755158,0.00645683234920633
"2020-01-17",16.6185757332998,2020-01-17,26.6218156164303,0.00557172105621439,0.0089255140154703
"2020-01-18",19.0385484774121,2020-01-18,30.7803425039185,0.00638306694470818,0.0103197461201761
"2020-01-19",21.3441920230035,2020-01-19,38.6660096848328,0.00715608160596792,0.0129635790562417
"2020-01-20",23.4044449806943,2020-01-20,50.1173642820138,0.00784682399988394,0.016802882409022
"2020-01-21",25.0741943302492,2020-01-21,57.3273489965139,0.00840664198662474,0.0192201788304156
"2020-01-22",26.2276259779071,2020-01-22,71.9924712850327,0.00879335379040956,0.0241369642371921
"2020-01-23",26.8332008810532,2020-01-23,81.2302901653398,0.00899638529522218,0.0272341339823567
"2020-01-24",26.8873471033212,2020-01-24,97.3473654617438,0.00901453893555615,0.0326377166500115
"2020-01-25",26.4659743757323,2020-01-25,96.5830020313552,0.00887326501795338,0.0323814480089412
"2019-12-12",0.0010711083615288,2019-12-12,0.000296804880828991,3.59111220311074e-07,9.95099718917808e-08
"2020-01-26",25.5635955040274,2020-01-26,100.309213940245,0.00857072384710645,0.0336307375801934
"2020-01-27",24.2406146172651,2020-01-27,114.60819760014,0.00812716715596519,0.0384247674428527
"2020-01-28",22.5896046846622,2020-01-28,106.377207069911,0.0075736319461415,0.0356651577153546
"2020-01-29",20.7233358908852,2020-01-29,109.37516693223,0.0069479267532466,0.0366702857334614
"2020-01-30",18.7389838559957,2020-01-30,110.64068259952,0.00628263171273472,0.0370945760218449
"2020-01-31",16.7165369027229,2020-01-31,104.153677758279,0.00560456456333108,0.0349196735485071
"2020-02-01",56.9211957693817,2020-02-01,138.970774353133,0.0190840075649607,0.0465928249260398
"2020-02-02",49.4735308375283,2020-02-02,111.27720618339,0.0165870239373392,0.0373079837116459
