"Destination Country","Number Exported"
"Algeria",3.45393454252664
"Angola",0.435735371572679
"Congo (Kinshasa)",1.04194755438702
"Cote D'Ivoire",0.573055789861338
"Egypt",14.9739788825853
"Equatorial Guinea",0.129305301362471
"Ethiopia",4.7277276796901
"Gabon",0.271132301303751
"Ghana",1.3617395703512
"Guinea",0.473033674583325
"Kenya",6.7330770273919
"Madagascar",0.316711435084026
"Mauritania",0.18364829736793
"Mauritius",1.11369106946061
"Morocco",4.27590801989316
"Mozambique",0.648631173787596
"Nigeria",2.17316028980271
"Senegal",0.38316254449058
"Seychelles",0.392959326428881
"South Africa",18.1937864660932
"Sudan",0.931001839426193
"Tanzania",1.6518389185398
"Tunisia",0.636548743217724
"Uganda",1.29795271048091
"Zambia",5.31631025517771
"Zimbabwe",0.638476250799127
