province,popn_size_province
Hubei,59170000
Beijing,21540000
Shanghai,24240000
Guangdong,113450000
Henan,96050000
Tianjin,15600000
Zhejiang,57370000
Hunan,68990000
Shaanxi,38640000
Jiangsu,80510000
Chongqing,31020000
Jiangxi,46480000
Sichuan,83410000
Anhui,63240000
Fujian,39410000
