gamma_mean_backward,gamma_var_backward,date_confirmation,n_used,direction,gamma_scale_backward,gamma_shape_backward
8.883425160256593,22.972105250155437,2020-01-01,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-02,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-03,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-04,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-05,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-06,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-07,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-08,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-09,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-10,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-11,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-12,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-13,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-14,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-15,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-16,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-17,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-18,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-19,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-20,10,backward,2.585951345988702,3.435263843628172
8.883425160256593,22.972105250155437,2020-01-21,26,backward,2.585951345988702,3.435263843628172
5.266452818460561,9.260837192797418,2020-01-22,26,backward,1.7584582093539873,2.99492634538942
7.075734843207151,12.259496327897406,2020-01-23,40,backward,1.7326110431719712,4.083856484172741
4.883609725419991,7.876087176022715,2020-01-24,53,backward,1.6127593355845753,3.028108173157673
5.037653640318389,8.125728364005411,2020-01-25,78,backward,1.6129986188355439,3.123160541795859
5.630354390848424,10.915483596605782,2020-01-26,159,backward,1.9386849990025146,2.9042131103017432
6.0155972077279785,12.67853604942104,2020-01-27,150,backward,2.1076105350161196,2.8542261996626284
6.676928099377619,15.407724504634643,2020-01-28,206,backward,2.3076067729515994,2.8934427553431625
7.439957151378972,12.347174156799673,2020-01-29,312,backward,1.6595759767932485,4.483047028527727
7.359943353731069,16.08103323935211,2020-01-30,365,backward,2.184939810875032,3.368487917652768
6.94130979760077,11.724373084838033,2020-01-31,370,backward,1.6890721530525128,4.109540131282341
7.498045220650056,14.595115897925552,2020-02-01,401,backward,1.9465227893971282,3.8520202596612445
7.248609235792287,14.966274124139716,2020-02-02,350,backward,2.0647097446278426,3.5107158546872776
7.724645032957369,16.79780391822078,2020-02-03,375,backward,2.1745729216750513,3.5522584485265978
8.375253366093602,21.306297254523088,2020-02-04,497,backward,2.5439585315447957,3.292213006714306
7.73441819227628,22.858978194867632,2020-02-05,345,backward,2.9554877466665808,2.6169684516539555
8.772843053645829,25.01093928881346,2020-02-06,346,backward,2.8509502718641917,3.077164530095225
7.845256364198576,19.515035031563457,2020-02-07,308,backward,2.4874948791500704,3.1538783978840392
8.064286097796867,20.414806178378058,2020-02-08,237,backward,2.5315081745370254,3.1855658926606876
8.097505474215723,23.137817478091165,2020-02-09,188,backward,2.857400658976666,2.8338712139569955
8.620209381329005,20.8822373519979,2020-02-10,157,backward,2.422474493163462,3.5584314326761155
8.77473110856954,23.989059932064265,2020-02-11,123,backward,2.733879777653377,3.2096258146732852
8.410138227045536,24.904455859214067,2020-02-12,112,backward,2.961242156416132,2.840071085987772
9.433705388219096,40.384828458481934,2020-02-13,74,backward,4.280908380806009,2.2036690695171846
9.01295618945369,41.91271308701289,2020-02-14,62,backward,4.650273695555751,1.9381560698389295
7.500185697030588,16.871405369729757,2020-02-15,26,backward,2.249465020100682,3.334208636280503
7.070078477554489,15.068333393865032,2020-02-16,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-17,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-18,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-19,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-20,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-21,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-22,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-23,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-24,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-25,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-26,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-27,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-28,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-02-29,14,backward,2.131282338902284,3.317288539629118
7.070078477554489,15.068333393865032,2020-03-01,14,backward,2.131282338902284,3.317288539629118
