date_onset_symptoms,gamma_var_forward,gamma_mean_forward,direction,gamma_scale_forward,gamma_shape_forward
2019-11-01,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-02,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-03,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-04,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-05,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-06,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-07,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-08,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-09,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-10,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-11,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-12,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-13,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-14,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-15,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-16,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-17,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-18,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-19,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-20,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-21,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-22,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-23,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-24,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-25,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-26,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-27,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-28,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-29,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-11-30,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-01,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-02,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-03,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-04,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-05,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-06,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-07,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-08,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-09,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-10,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-11,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-12,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-13,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-14,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-15,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-16,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-17,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-18,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-19,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-20,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-21,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-22,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-23,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-24,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-25,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-26,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-27,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-28,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-29,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-30,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2019-12-31,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2020-01-01,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2020-01-02,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2020-01-03,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
2020-01-04,44.224515619243036,20.134723258349215,forward,2.196430268834441,9.167021391047356
