"date.x","num_exp_dest_wuh","date.y","num_exp_dest_all","frac_wuhan","frac_all"
"2019-12-08",0.000104146643625854,2019-12-08,1.04239507076749e-05,2.87936540943743e-08,2.88193282590903e-09
"2019-12-17",0.00483263850483422,2019-12-17,0.00228297912779174,1.3360903109969e-06,6.31180314811345e-07
"2019-12-18",0.00640205927503962,2019-12-18,0.00305960498646142,1.76999156035605e-06,8.45895792495064e-07
"2019-12-19",0.00844538724441512,2019-12-19,0.00434903568333638,2.33491498662529e-06,1.20238756382728e-06
"2019-12-20",0.0111057820784522,2019-12-20,0.00611196344197986,3.07044026078503e-06,1.68978812047037e-06
"2019-12-21",0.0145690722526749,2019-12-21,0.00772188439716765,4.02794379458359e-06,2.13488654600863e-06
"2019-12-22",0.0190764559438921,2019-12-22,0.0102674786271103,5.27411018417728e-06,2.83867264193816e-06
"2019-12-23",0.0249407781883574,2019-12-23,0.0140066850500225,6.89543239223317e-06,3.87245935440853e-06
"2019-12-24",0.0325671639148682,2019-12-24,0.0166300928142061,9.00391620845968e-06,4.59775873113897e-06
"2019-12-25",0.0424795086573675,2019-12-25,0.0214628368322617,1.1744404195812e-05,5.93387821361075e-06
"2019-12-26",0.0553535943655467,2019-12-26,0.028731868865092,1.53037312922698e-05,7.94356365970308e-06
"2019-12-09",0.000240863650950677,2019-12-09,3.80674943204436e-05,6.65921090486321e-08,1.05246047836179e-08
"2019-12-27",0.0720563499458886,2019-12-27,0.0429651722124669,1.99215792599009e-05,1.18786766785817e-05
"2019-12-28",0.0936961275581999,2019-12-28,0.0529062874836269,2.59043766843336e-05,1.46271189179534e-05
"2019-12-29",0.121683311295868,2019-12-29,0.0661223261808879,3.36420555913287e-05,1.82809865175073e-05
"2019-12-30",0.157804722458145,2019-12-30,0.0895838996353827,4.36286224378199e-05,2.47674598885106e-05
"2019-12-31",0.204321121411864,2019-12-31,0.111176664338345,5.64891146683808e-05,3.07372595493799e-05
"2020-01-01",0.340387277608015,2020-01-01,0.158133073153625,9.41076273641706e-05,4.37194022845643e-05
"2020-01-02",0.439133253351629,2020-01-02,0.218422298400219,0.000121408146802775,6.03876984190475e-05
"2020-01-03",0.565114522828995,2020-01-03,0.340789464413552,0.000156238468447447,9.42188208444094e-05
"2020-01-04",0.725648070779719,2020-01-04,0.453857190561382,0.000200621535335723,0.000125478906456327
"2020-01-05",0.930386877184917,2020-01-05,0.66397905664433,0.000257226128302778,0.00018357176589971
"2019-12-10",0.000426943660837924,2019-12-10,8.88554510182238e-05,1.18038063061509e-07,2.45660640798915e-08
"2020-01-06",1.1912547345889,2020-01-06,0.952163488474956,0.000329348844781431,0.00026324675643829
"2020-01-07",1.52242412896293,2020-01-07,1.24206956495414,0.000420907983475385,0.000343397733900289
"2020-01-08",1.94123735303999,2020-01-08,1.73877581087231,0.00053669820661063,0.000480723213949968
"2020-01-09",2.46912828044622,2020-01-09,2.59991692463937,0.000682645384878792,0.000718804812098536
"2020-01-10",3.13269872911322,2020-01-10,3.94530073801673,0.000866104182022622,0.00109076606594101
"2020-01-11",3.96690763944731,2020-01-11,4.75729777070154,0.00109673977401439,0.00131526069073928
"2020-01-12",5.00061613572831,2020-01-12,6.16068146642209,0.00138253146004566,0.00170325730099423
"2020-01-13",6.2708950109694,2020-01-13,8.2223512314579,0.00173372828467385,0.0022732517242858
"2020-01-14",7.80689779333561,2020-01-14,9.52452024129284,0.00215839038864269,0.00263326528532093
"2020-01-15",9.6399178601293,2020-01-15,12.6261066250249,0.00266516952154412,0.00349076776804936
"2019-12-11",0.000678490293764276,2019-12-11,0.000175931544813478,1.87583719886573e-07,4.86401853126129e-08
"2020-01-16",11.7857294530916,2020-01-16,16.6525442700717,0.00325842682306042,0.00460396593505457
"2020-01-17",14.249629022738,2020-01-17,23.3722728982387,0.00393962661464032,0.00646178424768879
"2020-01-18",17.0147766035903,2020-01-18,27.5998726822591,0.00470411311359064,0.00763059815846486
"2020-01-19",20.0322572863397,2020-01-19,35.6290923109949,0.0055383627061908,0.00985045435919014
"2020-01-20",23.2309472332272,2020-01-20,47.7653249261262,0.00642271162689827,0.0132057855706725
"2020-01-21",26.4793632908489,2020-01-21,57.2097565835912,0.00732080843598787,0.0158169085871755
"2020-01-22",29.5976989417805,2020-01-22,75.3467774356126,0.00818294162585469,0.0208312910630205
"2020-01-23",32.4375927137848,2020-01-23,89.2931579139823,0.00896809337044303,0.0246870778784395
"2020-01-24",34.824048355575,2020-01-24,109.658040940637,0.00962788206712089,0.0303174023625242
"2020-01-25",36.6593093314244,2020-01-25,110.007648262959,0.0101352807491308,0.0304140590761477
"2019-12-12",0.00100835043626039,2019-12-12,0.000327499241735499,2.78780886803206e-07,9.05444434347655e-08
"2020-01-26",37.7135423820407,2020-01-26,114.351572663638,0.0104267469043278,0.0316150335122958
"2020-01-27",37.8766484706109,2020-01-27,130.498907410446,0.0104718412072402,0.0360793230473091
"2020-01-28",37.1441322477017,2020-01-28,120.84326281279,0.0102693208186165,0.0334098055196785
"2020-01-29",35.6230621270326,2020-01-29,123.637845766135,0.00984878718082423,0.0341824300815003
"2020-01-30",33.4625036566597,2020-01-30,124.688854555353,0.00925145277732605,0.0344730048179807
"2020-01-31",30.8322111640148,2020-01-31,117.146961460108,0.00852424996441229,0.0323878808673578
"2020-02-01",107.902916642227,2020-02-01,156.560028539662,0.0298321592458799,0.0432844991430653
"2020-02-02",96.0044201465923,2020-02-02,125.827383925067,0.0265425554678723,0.03478777656392
